Task ID,Epic,Task,Description,Priority,Status,Dependencies,Assigned Agent,Files/Modules,Acceptance Criteria,Required Tests,Blocker,Started At,Completed At,Evidence
GRX-TEST-ORG-001,Testing,Reorganize backend test folders by domain,Maintenance cleanup requested by the product owner: group the flat API and worker pytest suites into domain/job folders without changing test behavior.,P3,DONE,"GRX-TEST-001 (DONE), GRX-FOUND-007 (DONE)",Codex,"`apps/api/tests/`, `apps/worker/tests/`, `docs/00-project-control/WORKTREE_TRACKER.md`",API tests are grouped by product/platform domain; worker tests are grouped by runtime/job area; shared fixtures remain discoverable; pytest collection still finds all tests.,`cd apps/api && uv run --extra dev pytest --collect-only -q`; `cd apps/worker && uv run --extra dev pytest --collect-only -q`,—,2026-08-17,2026-08-17,"Merged to `main` as `f4d2b13`. API and worker pytest suites reorganized into domain/job folders (rename-only, 62 files). Follow-up recorded during the `GRX-LINT-RUFF-001` review: the file moves changed isort first-party classification and left `ruff check .` red on `main` with 16 `I001` errors, fixed separately in `GRX-LINT-RUFF-001`. Lesson recorded there: a rename-only refactor still needs the lint/format/type gate re-run, because moves change tooling classification without changing a line of code."
GRX-DOC-001,Documentation,Establish Growixa documentation foundation,"Phase 0/1 docs: product vision, PRD, MVP scope, roadmap, future-scope mapping, decisions, assumptions, open questions, DoD, agent execution rules",P0,DONE,—,coding agent,"`docs/00-project-control/`, `docs/01-product/`, `docs/12-development/`","Docs exist, are internally consistent, and readiness items they cover show PASS",N/A (documentation),—,2026-07-22,2026-07-22,Commit `50b93cf`
GRX-DOC-002,Documentation,"Architecture, data, and security baseline docs","SYSTEM_ARCHITECTURE, MODULE_BOUNDARIES, BACKGROUND_JOB_ARCHITECTURE, DATA_MODEL, ERD, DATABASE_SCHEMA, SECURITY_ARCHITECTURE, AUTHENTICATION, RBAC, THREAT_MODEL",P0,DONE,GRX-DOC-001,coding agent,"`docs/04-architecture/`, `docs/05-data/`, `docs/08-security/`",Development Readiness Gate items for these areas show PASS,N/A (documentation),—,2026-07-22,2026-07-22,This commit
GRX-FOUND-001,Foundation,Repository and development tooling,"Backend/frontend project scaffolding, linting, formatting, type-checking config, pre-commit hooks, env var examples",P0,DONE,GRX-DOC-002,coding agent,"`apps/api/` (pyproject.toml, .venv tooling, .env.example), `apps/web/` (package.json, eslint/prettier/tsconfig, .env.example), `.pre-commit-config.yaml`, `.gitignore`",Lint/format/type-check run clean on empty scaffolding; `.env.example` present,Config validation only,—,2026-07-23,2026-07-23,`ruff check .`→0 errors; `ruff format --check .`→pass; `mypy .`→0 issues; `npm run lint`→pass (0 errors); `npm run format:check`→pass; `npm run typecheck`→pass; `npm audit`→0 vulnerabilities; `pre-commit run --all-files`→all hooks pass. Commit `42f8b37`
GRX-FOUND-002,Foundation,Docker Compose local environment,"Compose file for Postgres, Redis, RabbitMQ, backend, frontend",P0,DONE,GRX-FOUND-001 (DONE),coding agent,"`compose.yaml`, `apps/api/Dockerfile`, `apps/api/src/growixa_api/{main,config}.py`, `apps/web/Dockerfile`, `apps/web/next.config.mjs`, `apps/web/src/app/`, root `.env.example`",`docker compose up` starts all services; backend/frontend reach DB/Redis/RabbitMQ,Manual + smoke test,—,2026-07-23,2026-07-23,"`podman compose up -d` → all 5 containers (`postgres`, `redis`, `rabbitmq`, `api`, `web`) report `healthy`; `GET /health` → `{""status"":""ok"",""checks"":{""postgres"":""ok"",""redis"":""ok"",""rabbitmq"":""ok""}}`; `GET /` on web → 200. Commit `76354d2`"
GRX-FOUND-003,Foundation,FastAPI application foundation,"App factory, config loading, health endpoint, OpenAPI docs enabled",P0,DONE,GRX-FOUND-002 (DONE),coding agent,"`apps/api/src/growixa_api/{app,health,main}.py`, `apps/api/tests/test_health.py`",`GET /health` returns 200 locally and in Docker Compose,Unit test for health endpoint,—,2026-07-23,2026-07-23,"`ruff check` 0 errors, `ruff format --check` pass, `mypy` 0 issues, `pytest` 2 passed; `podman compose up -d` → all 5 healthy; `GET /health` → 200 `{""status"":""ok"",...}`; `GET /docs`, `/openapi.json` → 200. Commit `c69eb10`"
GRX-FOUND-004,Foundation,Next.js application foundation,"App shell, routing baseline, API client setup, env config",P0,DONE,GRX-FOUND-002 (DONE),coding agent,"`apps/web/src/app/{page,not-found}.tsx`, `apps/web/src/lib/{env,api-client}.ts`",App builds and serves a placeholder page locally and in Docker Compose,Build passes; smoke test loads root route,—,2026-07-24,2026-07-24,"`npm run lint`/`format:check`/`typecheck`/`build` all pass; local `next start` → `/` 200 (renders ""Growixa""), unknown route → 404; `podman compose up -d --build web` → all 5 healthy, `GET /` → 200, unknown route → 404. Commit `8269436`"
GRX-FOUND-005,Foundation,PostgreSQL connectivity + Alembic foundation,"SQLAlchemy engine/session setup, Alembic init, first empty migration runs",P0,DONE,GRX-FOUND-003 (DONE),coding agent,"`apps/api/src/growixa_api/db.py`, `apps/api/alembic.ini`, `apps/api/migrations/`, `apps/api/tests/test_migrations.py`",`alembic upgrade head` succeeds against Compose Postgres,Migration smoke test,—,2026-07-24,2026-07-24,"`ruff check` 0 errors, `ruff format --check` pass, `mypy` 0 issues (11 files), `pytest` 3 passed incl. real upgrade/downgrade round-trip; `alembic upgrade head`/`alembic current` succeed both from host (→ localhost:5433) and via `podman compose exec api alembic upgrade head` against Compose Postgres. Commit `0cff500`"
GRX-FOUND-006,Foundation,Redis connectivity,"Redis client wiring, used later for rate limiting/locks/idempotency",P0,DONE,GRX-FOUND-003 (DONE),coding agent,"`apps/api/src/growixa_api/redis.py` (new), `apps/api/src/growixa_api/health.py` (reuses pooled client), `apps/api/tests/test_redis.py`",Backend can set/get a key against Compose Redis,Connectivity smoke test,—,2026-07-27,2026-07-27,"`ruff`/`mypy` clean; `pytest` 38 passed, 1 skipped (95% coverage) — the new Redis smoke test skips under host-run pytest because Compose's `redis` service deliberately has no host port mapping (documented in `LOCAL_DEVELOPMENT.md`; only Postgres/RabbitMQ are host-reachable), a documented environment fact, not a code defect; rebuilt `api` image, `GET /health` → `{""status"":""ok"",...}` using the new pooled client (replacing health.py's old per-request throwaway client), and a live set/get/delete against real Compose Redis executed inside the `api` container via the shared client confirmed round-trip correctness. Commit `32aacdf`"
GRX-FOUND-007,Foundation,RabbitMQ connectivity and health check,"Producer/consumer connection setup, `grx.system.healthcheck` queue and worker skeleton per [BACKGROUND_JOB_ARCHITECTURE.md](../04-architecture/BACKGROUND_JOB_ARCHITECTURE.md)",P0,DONE,GRX-FOUND-003 (DONE),coding agent,"`apps/api/src/growixa_api/jobs/` (new), `apps/worker/` (new)",Worker consumes a health-check message published by the API,Connectivity smoke test,—,2026-07-29,2026-07-29,"Added the shared `JobEnvelope` schema (`jobs/schemas.py`) and `publish_job()` producer (`jobs/producer.py`) to `apps/api`, plus an `admin.access`-gated `POST /system/jobs/healthcheck` to trigger one for testability (no business-job endpoint exists in Sprint 1 otherwise). New standalone `apps/worker/` app (own pyproject.toml/Dockerfile, mirrors `apps/api`'s tooling) connects to RabbitMQ, declares the `grx.system.healthcheck` queue, and logs each job it processes — an independently deployable process per SYSTEM_ARCHITECTURE.md, not a thread inside the API. Wired into `compose.yaml` as a new `worker` service and into `ci.yml` as a new parallel job (its own test suite is pure-unit, no service containers needed). `ruff`/`mypy` clean on both apps; `apps/api` `pytest` 58 passed, 3 skipped (95% coverage) — the new RabbitMQ producer round-trip test skips locally for the same host-unreachable-broker reason as `GRX-FOUND-006`'s Redis test, but runs for real in CI; `apps/worker` `pytest` 2 passed. Live-verified against rebuilt Compose containers: `docker compose logs worker` showed the worker listening on the queue; triggered a real healthcheck job as a smoke Admin via curl, confirmed the worker's log line showed the exact same `job_id`; confirmed a Viewer gets 403; `/health`'s existing `rabbitmq` check still reports `ok`. Also corrected a stale placeholder in `LOCAL_DEVELOPMENT.md` (previously said the worker would build from `apps/api/`). Commit `a0a1eea`"
