category,business_name,city,address,phone_primary,phones_all,fax,website,emails,email_primary,linkedin,facebook,instagram,twitter,rating,review_count,latitude,longitude,yello_url,enrich_status
advice-centres,Assignmentwriting.ae,Dubai,"Al Hawai Tower Financial Center, Sheikh Zayed Road",+971 50 820 0128,+971 50 820 0128,,https://www.assignmentwriting.ae/,info@assignmentwriting.ae,info@assignmentwriting.ae,https://www.linkedin.com/company/107602992/admin/page-posts/published/,https://www.facebook.com/assignmentwritingdxb/,https://www.instagram.com/assignmentwriting_uae/,,,,25.211105162914,55.2756460011005,https://www.yello.ae/company/357922/assignmentwritingae,ok
after-school-programs,Option Training Institute,Dubai,"G 09, Block 13, Al Sufouh Road, Knowledge Village",+971 50 926 7126,+971 50 926 7126 | +971 50 926 7126 +971 55 120 7626 | +971 55 120 7626,,https://optioneducation.ae/,enquiry@optioneducation.ae | abisup004@gmail.com,enquiry@optioneducation.ae,https://www.linkedin.com/company/option-training-institute/,https://www.facebook.com/OptionTrainingInstitute,,https://twitter.com/OptionIns,1.0,1,25.1022152,55.1593087,https://www.yello.ae/company/343785/option-training-institute,ok
associations,Freiburg Medical Laboratory Middle East LLC,Dubai,"Freiburg Medical Laboratory M.E. L.L.C. Avenue Building,  2nd Floor, 208 P.O. Box 3068 Dubai United Arab Emirates",+971 4 396 2227,+971 4 396 2227,+971 4 396 2228,https://www.fml-dubai.com/,info@fml-dubai.com,info@fml-dubai.com,https://www.linkedin.com/company/freiburg-medical-laboratory/about/,https://www.facebook.com/fml.dubai,,,,,25.2523475,55.3032324,https://www.yello.ae/company/354015/freiburg-medical-laboratory-middle-east-llc,ok
associations,Grade Refrigeration LLC,Sharjah,"Opposite Marwan Cont Co, Industrial Area 15, P.O. Box: 69619",+971 6 534 3803,+971 6 534 3803 | +971 6 534 3808,+971 6 534 7679,https://grasso-adearest.com/,info@grasso-adearest.com | hafez@grasso-adearest.com | ytebbai@grasso-adearest.com | mohamad@grasso-adearest.com,info@grasso-adearest.com,,,,,,,25.2877017,55.4349678,https://www.yello.ae/company/319890/grade-refrigeration-llc,ok
associations,Maarefah Management,Dubai,Dubai,+971 4 361 9616,+971 4 361 9616,,https://maarefah-management.com/,info@maarefah-management.org,info@maarefah-management.org,https://www.linkedin.com/company/maarefah-management/posts/,,,,,,25.0675524,55.144309,https://www.yello.ae/company/370107/maarefah-management,ok
associations,Oasis Global Hotel Management L.l.c.,Dubai,Po Box 13676,+971 4 421 4287,+971 4 421 4287,+971 4 266 9605 +971 4 266 9497,https://www.globalhotelalliance.com/,careers@gha.com,careers@gha.com,https://www.linkedin.com/company/global-hotel-alliance/,https://www.facebook.com/GHADISCOVERY/,https://www.instagram.com/ghadiscovery,,,,25.0765485,55.1498678,https://www.yello.ae/company/245753/oasis-global-hotel-management-llc,ok
associations,Turkish Business Council,Dubai,"DMCC Business Center, Gold Tower, Cluster I - Dubai",+971 54 444 8220,+971 54 444 8220,,https://tbcdubai.org/,tbcdubai@tbcdubai.org,tbcdubai@tbcdubai.org,https://tr.linkedin.com/company/turkish-business-council-in-dubai,https://www.facebook.com/TurkishBusinessCouncilDubai/,https://www.instagram.com/turkishbusinesscouncildubai/,,,,25.0687122,55.1425424,https://www.yello.ae/company/371381/turkish-business-council,ok
associations,UAQ Free Trade Zone,Dubai,"One UAQ, UAQ Free Trade Zone - Al Barqaa - Umm Al Quawain",+971 6 764 7272,+971 6 764 7272,,https://www.uaqftz.com/,info@uaqftz.com,info@uaqftz.com,https://www.linkedin.com/company/uaqftz/,https://www.facebook.com/uaqftz,https://www.instagram.com/uaqftz/,,,,25.5541668,55.7431456,https://www.yello.ae/company/371663/uaq-free-trade-zone,ok
business-education,Capital Education Dubai Campus,Dubai,"Capital Education Dubai Campus,1013, Onyx Tower 2, Greens, opp Dubai Internet City",+971 4 397 0095,+971 4 397 0095 | +971 52 105 5618 | +971 52 105 5611,,https://www.capital.ac.ae/,hello@capital.ac.ae | reception@capital.ac.ae | edu@capital.ac.ae | jobs@capital.ac.ae,hello@capital.ac.ae,https://www.linkedin.com/company/capital-education,https://www.facebook.com/capitaldxb,https://www.instagram.com/capitaldxb,https://www.twitter.com/capitaldxb,,,25.0968019039882,55.1696276664734,https://www.yello.ae/company/349340/capital-training-institute,ok
business-education,Coach Transformation Academy,Dubai,Jumeirah Lake Towers,+971 56 662 9001,+971 56 662 9001,,https://coachtransformation.com/,info@coachtransformation.com,info@coachtransformation.com,//www.linkedin.com/company/coachtransformation,https://www.facebook.com/profile.php,https://www.instagram.com/cta_coaching/,https://twitter.com/cta_coaching,,,25.0709072054296,55.1384211495331,https://www.yello.ae/company/361394/coach-transformation-academy,ok
business-education,E learning education system,Umm Al Quwain,"626 Coventry Court Gulfport, MS 39501",+9712282291846,+9712282291846,,https://www.elearningways.com/,team.guestpost@gmail.com,team.guestpost@gmail.com,,,,,,,30.388537,-89.181437,https://www.yello.ae/company/363838/e-learning-education-system,ok
business-education,EX Certification and Inspection  Services L.l.c,Abu Dhabi,"Office 09, Building 01 - Musaffah 35 - Abu Dhabi",+971 54 313 9696,+971 54 313 9696,,https://extrainings.com,contact@kingsmengroup.me,contact@kingsmengroup.me,https://www.linkedin.com/company/compex-competency/,https://www.facebook.com/CompExCompetency,https://www.instagram.com/ComPex_Cert/,https://twitter.com/ComPex_Cert,,,24.3441172,54.5072798,https://www.yello.ae/company/371901/ex-certification-and-inspection-services-llc,ok
business-education,Elite International Training &amp; Educational Centre,Dubai,"912H, Plot No: 16, Ibn Battuta Gate Office Ibn Battuta",+971 4 427 7047,+971 4 427 7047 | +971 52 921 3423,,https://eliteinternationaltraining.com/,admin@eliteinternationaltraining.com | contact@eliteinternationaltraining.com | qatar@eliteinternationaltraining.com | riyadh@eliteinternationaltraining.com | contactksa@eliteinternationaltraining.com | trainingusa@eliteinternationaltraining.com,admin@eliteinternationaltraining.com,https://ae.linkedin.com/company/ebstac,https://www.facebook.com/eliteinterglobaltrainingcenter,https://www.instagram.com/eliteinterglobaltrainingcenter,https://twitter.com/i/flow/login,,,25.045842895079,55.1186002579077,https://www.yello.ae/company/367451/elite-international-trainingeducational-centre,ok
business-education,Essay Writing Service in UAE,Dubai,Dubai,+971 56 225 0717,+971 56 225 0717 | +971 58 164 0107,,https://writingservice.ae/,info@writingservice.ae,info@writingservice.ae,https://www.linkedin.com/company/writingserviceuae,https://www.facebook.com/WritingServiceUAE/,https://www.instagram.com/writingserviceuae/,https://twitter.com/UAEWritings,,,25.210816008908104,55.27795924316404,https://www.yello.ae/company/364704/essay-writing-service-in-uae,ok
business-education,Highline Institute,Dubai,"PO Box 41591, Office No:210, AL-MAYA SUPERMARKET BUILDING",+971 4 344 8060,+971 4 344 8060 | +971 56 492 0009,,https://www.highlineinstitute.com/,info@highlineinstitute.com,info@highlineinstitute.com,,https://www.facebook.com/highlinegroup/,,https://twitter.com/highlinecomput1,,,19.02597,81.16973,https://www.yello.ae/company/362681/highline-institute,ok
business-education,International Placewell Consultant,Dubai,"Block 13, Office No: F â 18, Dubai Knowledge Park P.O. Box: 46875, Dubai",+971 4 391 1179,+971 4 391 1179,,https://www.unidirection.com/blog/guiding-educational-consultant/,dubai@unidirection.com,dubai@unidirection.com,https://www.linkedin.com/company/ipcgulf/,https://www.facebook.com/IPCGulf,https://www.instagram.com/ipcgulf,https://twitter.com/IPCGULF,,,25.102425,55.161072,https://www.yello.ae/company/365631/international-placewell-consultant,ok
